Year,State,Sex,Age,Uncontrolled_Direct Costs,Uncontrolled_Indirect Costs,Uncontrolled_QALYs_Lost
20,US,Male,20 to 24 years,664627692.840111,1640724032.0181,34186.3887732009
20,US,Male,25 to 29 years,657821363.024364,1623879679.53344,33835.7724643372
20,US,Male,30 to 34 years,606230644.477513,1496482349.91639,31181.6117613372
20,US,Male,35 to 39 years,560161627.19232,1382719071.01005,28811.494549702
20,US,Male,40 to 44 years,515200097.71629,1271693468.18895,26498.3798045775
20,US,Male,45 to 49 years,533507093.892214,1316835747.021,27439.3436172536
20,US,Male,50 to 54 years,537992278.763585,1327857086.71036,27669.3449308198
20,US,Male,55 to 59 years,522051512.327102,1288461650.00805,26848.7879672335
20,US,Male,60 to 64 years,443484962.143371,1094507719.17915,22807.5112354168
20,US,Male,65 to 69 years,367899241.394752,907924112.52379,18919.7219837402
20,US,Male,70 to 74 years,246044340.053549,0,12652.7606439606
20,US,Male,75 to 79 years,163435189.176468,0,8404.32326786607
20,US,Male,80 to 84 years,104686980.56974,0,5383.12352344267
20,US,Male,85 and over,91188097.5357472,0,4688.74589423918
20,US,Male,Total,6652889017.82876,14927489603.5913,342173.197024118
21,US,Female,15 to 19 years,699745417.848091,1727110309.72114,35988.7630182198
21,US,Female,20 to 24 years,724724802.003537,1788725731.95824,37273.058758667
21,US,Female,25 to 29 years,735559529.58056,1815424949.24134,37829.8132822047
21,US,Female,30 to 34 years,693407905.346299,1711347907.04955,35661.4512828407
21,US,Female,35 to 39 years,653469183.964251,1612734435.05756,33606.9087698164
21,US,Female,40 to 44 years,611021658.791723,1507931937.48341,31423.3624183892
21,US,Female,45 to 49 years,637799942.144406,1573968865.83459,32799.896504787
21,US,Female,50 to 54 years,656057466.932429,1618971457.46228,33738.1430033692
21,US,Female,55 to 59 years,652725071.454071,1610691448.23268,33566.0486877099
21,US,Female,60 to 64 years,574414105.152882,1417395296.64636,29538.2656087646
21,US,Female,65 to 69 years,490486246.168419,1210251491.09264,25221.7974549249
21,US,Female,70 to 74 years,342816244.998284,0,17627.8454108596
21,US,Female,75 to 79 years,244546692.258002,0,12574.4098089463
21,US,Female,80 to 84 years,175331261.592143,0,9015.14041266707
21,US,Female,85 and over,205561515.928322,0,10569.0111148035
21,US,Female,Total,8097667044.16342,17594553829.7798,416433.91553697
21,US,Male,15 to 19 years,641188738.303015,1582900311.52828,32981.2266476691
21,US,Male,20 to 24 years,667365936.094007,1647484666.75359,34327.2521628733
21,US,Male,25 to 29 years,660531559.278236,1630570887.02303,33975.1910266214
21,US,Male,30 to 34 years,608728284.393248,1502648596.84864,31310.0938721696
21,US,Male,35 to 39 years,562469460.671294,1388416538.76522,28930.2106145242
21,US,Male,40 to 44 years,517322688.265168,1276933439.62127,26607.5647171507
21,US,Male,45 to 49 years,535705103.899904,1322261707.01192,27552.4056101993
