Year,State,Sex,Age,Uncontrolled_Direct Costs,Uncontrolled_Indirect Costs,Uncontrolled_QALYs_Lost
19,Kentucky,Male,Total,46626440.5258689,143415316.11939,2211.571736
19,Louisiana,Female,15 to 19 years,5393919.16932983,15121366.5786298,288.8462591
19,Louisiana,Female,20 to 24 years,4579433.0604472,12838028.1304664,245.230243
19,Louisiana,Female,25 to 29 years,4627528.89816891,12972860.4796851,247.8057919
19,Louisiana,Female,30 to 34 years,4376588.3751198,12269371.3247057,234.3678391
19,Louisiana,Female,35 to 39 years,4363931.01771369,12233887.5632243,233.6900332
19,Louisiana,Female,40 to 44 years,4590652.31566429,12869480.3019861,245.831038
19,Louisiana,Female,45 to 49 years,5013927.65804846,14056094.60134,268.4975807
19,Louisiana,Female,50 to 54 years,5018514.94865609,14068954.6573963,268.7432317
19,Louisiana,Female,55 to 59 years,5092308.08947769,14275827.0813838,272.6948803
19,Louisiana,Female,60 to 64 years,5009428.61553385,14043481.9408643,268.2566554
19,Louisiana,Female,65 to 69 years,4363497.06895684,12232671.0269688,233.6667951
19,Louisiana,Female,70 to 74 years,3904779.13720089,0,209.1022893
19,Louisiana,Female,75 to 79 years,2664935.56556005,0,142.7082321
19,Louisiana,Female,80 to 84 years,1597399.20220949,0,85.54128629
19,Louisiana,Female,85 and over,1184201.26758514,0,63.41439229
19,Louisiana,Female,Total,61781044.3896722,146982023.686651,3308.396547
19,Louisiana,Male,15 to 19 years,4025642.67236737,15677625.1620083,215.5745739
19,Louisiana,Male,20 to 24 years,2703353.35925091,10528048.3381472,144.7655184
19,Louisiana,Male,25 to 29 years,2605830.76668682,10148252.4209532,139.5431495
19,Louisiana,Male,30 to 34 years,2379548.52183723,9267009.72151525,127.4256561
19,Louisiana,Male,35 to 39 years,2245353.61003345,8744395.64542013,120.2394716
19,Louisiana,Male,40 to 44 years,2206558.09040797,8593308.80931603,118.1619579
19,Louisiana,Male,45 to 49 years,2195319.06408583,8549539.0919802,117.5601041
19,Louisiana,Male,50 to 54 years,2110745.1872449,8220171.17547056,113.0311434
19,Louisiana,Male,55 to 59 years,2198881.99164634,8563414.70075108,117.7509002
19,Louisiana,Male,60 to 64 years,2263451.36968856,8814876.29043425,121.2086129
19,Louisiana,Male,65 to 69 years,1920386.63629323,7478831.15821358,102.8373764
19,Louisiana,Male,70 to 74 years,1719503.13468981,0,92.07999461
19,Louisiana,Male,75 to 79 years,1201786.03580107,0,64.35606278
19,Louisiana,Male,80 to 84 years,772713.644908777,0,41.3790861
19,Louisiana,Male,85 and over,534143.299116273,0,28.60356059
19,Louisiana,Male,Total,31083217.3840585,104585472.51421,1664.517169
19,Maine,Female,15 to 19 years,2763084.81575298,8841052.11172435,133.3742046
19,Maine,Female,20 to 24 years,2013950.58458041,6444044.70221118,97.21346797
19,Maine,Female,25 to 29 years,2019257.97687843,6461026.78383845,97.46965599
19,Maine,Female,30 to 34 years,2159609.47590793,6910109.96427648,104.244428
19,Maine,Female,35 to 39 years,2480400.78264186,7936547.02608995,119.729036
19,Maine,Female,40 to 44 years,2726430.55031568,8723769.33089889,131.6049018
19,Maine,Female,45 to 49 years,2864347.04897727,9165061.23217606,138.2621362
19,Maine,Female,50 to 54 years,2710473.16464837,8672710.42838266,130.8346383
19,Maine,Female,55 to 59 years,2704662.82356663,8654119.05977984,130.5541729
19,Maine,Female,60 to 64 years,2694990.94968237,8623171.93121496,130.0873112
19,Maine,Female,65 to 69 years,2369103.78808792,7580429.64485003,114.356726
19,Maine,Female,70 to 74 years,2175292.23826028,0,105.0014355
19,Maine,Female,75 to 79 years,1621160.02597258,0,78.25345342
19,Maine,Female,80 to 84 years,1087055.70517452,0,52.47221843
19,Maine,Female,85 and over,889819.849640853,0,42.95163651
19,Maine,Female,Total,33279639.7800881,88012042.2154429,1606.409423
19,Maine,Male,15 to 19 years,1859325.19029276,7486643.86110616,89.74969457
19,Maine,Male,20 to 24 years,1094280.8574521,4406163.64826411,52.82097679
19,Maine,Male,25 to 29 years,1036512.40656433,4173556.77537148,50.03249157
19,Maine,Male,30 to 34 years,1083114.24818981,4361200.86976829,52.28196416
19,Maine,Male,35 to 39 years,1228859.16710914,4948048.34981722,59.3170767
19,Maine,Male,40 to 44 years,1350767.13787519,5438915.44811745,65.20157888
19,Maine,Male,45 to 49 years,1348107.52561818,5428206.41783013,65.0731993
19,Maine,Male,50 to 54 years,1225380.94115556,4934043.14022889,59.1491826
19,Maine,Male,55 to 59 years,1287066.42172195,5182422.08266069,62.12674299
19,Maine,Male,60 to 64 years,1400495.18912283,5639147.34490541,67.60195372
19,Maine,Male,65 to 69 years,1184352.20136663,4768839.35313809,57.16872384
19,Maine,Male,70 to 74 years,1063790.16724688,0,51.34919007
19,Maine,Male,75 to 79 years,816472.459631525,0,39.41115533
19,Maine,Male,80 to 84 years,565746.977162766,0,27.30862717
19,Maine,Male,85 and over,443335.795881127,0,21.39983499
19,Maine,Male,Total,16987606.6863908,56767187.2912079,819.9923927
19,Maryland,Female,15 to 19 years,8917903.31676408,36737266.3542782,453.2346536
19,Maryland,Female,20 to 24 years,7541534.32733896,31067319.9139274,383.2834442
19,Maryland,Female,25 to 29 years,8453660.71916316,34824820.866222,429.6404493
19,Maryland,Female,30 to 34 years,8712220.59155591,35889957.206371,442.7812392
19,Maryland,Female,35 to 39 years,9501627.20272749,39141914.5226073,482.9012561
19,Maryland,Female,40 to 44 years,10399001.5638705,42838644.5446561,528.5085186
19,Maryland,Female,45 to 49 years,10649594.5325383,43870961.257392,541.2444066
19,Maryland,Female,50 to 54 years,9584345.18339583,39482670.9067215,487.1052325
19,Maryland,Female,55 to 59 years,9149993.9003693,37693362.5671848,465.0301947
19,Maryland,Female,60 to 64 years,8777894.44185067,36160500.3649018,446.1189817
19,Maryland,Female,65 to 69 years,6721310.96115812,27688413.1010733,341.5972272
19,Maryland,Female,70 to 74 years,5243191.27264228,0,266.4747414
19,Maryland,Female,75 to 79 years,3638674.6915723,0,184.9283856
19,Maryland,Female,80 to 84 years,2397659.88849687,0,121.8562828
19,Maryland,Female,85 and over,2041902.98360881,0,103.7756475
19,Maryland,Female,Total,111730515.577053,405395831.605335,5678.480661
19,Maryland,Male,15 to 19 years,6880582.86794439,33259380.8489932,349.6919042
19,Maryland,Male,20 to 24 years,4151972.5717015,20069816.7127881,211.0157268
19,Maryland,Male,25 to 29 years,4164758.34906232,20131620.6394111,211.6655385
19,Maryland,Male,30 to 34 years,4169173.91407872,20152964.6100256,211.8899508
19,Maryland,Male,35 to 39 years,4220546.67411643,20401290.4022079,214.5008688
19,Maryland,Male,40 to 44 years,4311979.49073668,20843258.6087441,219.1477594
19,Maryland,Male,45 to 49 years,4194223.79744315,20274050.8067956,213.1630611
19,Maryland,Male,50 to 54 years,3688774.48873183,17830808.514546,187.4746079
19,Maryland,Male,55 to 59 years,3455846.53454468,16704880.713461,175.6365091
19,Maryland,Male,60 to 64 years,3417613.53403292,16520069.9278887,173.6933931
19,Maryland,Male,65 to 69 years,2815416.51759357,13609168.2934946,143.0879305
19,Maryland,Male,70 to 74 years,2410563.5443472,0,122.5120854
19,Maryland,Male,75 to 79 years,1713089.37135191,0,87.06435136
19,Maryland,Male,80 to 84 years,1123946.84647383,0,57.1223573
19,Maryland,Male,85 and over,825847.052557165,0,41.97202969
19,Maryland,Male,Total,51544335.5547163,219797310.078356,2619.638074
19,Massacheusetts,Female,15 to 19 years,11888495.8897414,48858281.1065427,566.4807059
19,Massacheusetts,Female,20 to 24 years,9005330.48039639,37009304.8060175,429.0993591
19,Massacheusetts,Female,25 to 29 years,9200292.77818785,37810543.4857476,438.3892122
19,Massacheusetts,Female,30 to 34 years,9098502.47229731,37392214.7564242,433.5389566
19,Massacheusetts,Female,35 to 39 years,10277693.2311897,42238347.8678396,489.7267889
19,Massacheusetts,Female,40 to 44 years,11806707.8761754,48522156.01595,562.5835492
19,Massacheusetts,Female,45 to 49 years,12302945.3184065,50561548.4397671,586.2290077
19,Massacheusetts,Female,50 to 54 years,11297004.547971,46427422.6938113,538.2964481
19,Massacheusetts,Female,55 to 59 years,10777952.1912534,44294267.5673155,513.5638707
19,Massacheusetts,Female,60 to 64 years,10501980.7818589,43160104.8588775,500.4139751
19,Massacheusetts,Female,65 to 69 years,8308126.8380908,34143999.3998335,395.8779647
19,Massacheusetts,Female,70 to 74 years,6952039.95232276,0,331.261123
19,Massacheusetts,Female,75 to 79 years,5195839.68933755,0,247.579085
19,Massacheusetts,Female,80 to 84 years,3596536.84675732,0,171.3731283
19,Massacheusetts,Female,85 and over,3121239.02881241,0,148.7254321
19,Massacheusetts,Female,Total,133330687.922799,470418190.998127,6353.138607
19,Massacheusetts,Male,15 to 19 years,9253380.29234549,47083174.4452627,440.9188049
19,Massacheusetts,Male,20 to 24 years,5443041.45456504,27695356.9637764,259.3581218
19,Massacheusetts,Male,25 to 29 years,5194379.81685046,26430113.4639448,247.5095229
19,Massacheusetts,Male,30 to 34 years,4986572.18190311,25372743.8521742,237.6075961
19,Massacheusetts,Male,35 to 39 years,5365427.87868576,27300442.5198659,255.6598749
19,Massacheusetts,Male,40 to 44 years,5949070.91749703,30270142.9041509,283.4701651
19,Massacheusetts,Male,45 to 49 years,5978965.24221891,30422251.6105193,284.8946143
19,Massacheusetts,Male,50 to 54 years,5376022.68690287,27354351.1659757,256.1647121
19,Massacheusetts,Male,55 to 59 years,4983014.93267361,25354643.8086521,237.438095
19,Massacheusetts,Male,60 to 64 years,4799328.58748493,24420008.4688633,228.6855353
19,Massacheusetts,Male,65 to 69 years,3828507.67963775,19480264.4277491,182.426419
19,Massacheusetts,Male,70 to 74 years,3285087.02152837,0,156.5327046
19,Massacheusetts,Male,75 to 79 years,2603042.80575817,0,124.033649
19,Massacheusetts,Male,80 to 84 years,1891704.3759646,0,90.13873918
19,Massacheusetts,Male,85 and over,1425962.07431547,0,67.94635839
19,Massacheusetts,Male,Total,70363507.9483316,311183493.630934,3352.784913
19,Michigan,Female,15 to 19 years,20613156.3381684,69284042.6008324,846.8904527
19,Michigan,Female,20 to 24 years,15358526.7767886,51622410.7570903,631.0042713
19,Michigan,Female,25 to 29 years,14687254.3887517,49366159.2657361,603.4250803
19,Michigan,Female,30 to 34 years,16011491.6668724,53817127.8843091,657.8312997
19,Michigan,Female,35 to 39 years,18096406.7494595,60824853.5829499,743.4899271
19,Michigan,Female,40 to 44 years,19298411.8191736,64864980.6304647,792.8742427
19,Michigan,Female,45 to 49 years,20663611.4565034,69453630.1453505,848.9633986
19,Michigan,Female,50 to 54 years,20706369.5546067,69597346.800962,850.7201128
19,Michigan,Female,55 to 59 years,20484227.8815383,68850693.8921208,841.5934337
19,Michigan,Female,60 to 64 years,19563072.2203004,65754545.6347562,803.7478015
19,Michigan,Female,65 to 69 years,16178181.1826073,54377397.4189606,664.6797298
19,Michigan,Female,70 to 74 years,13797372.7708008,0,566.8643404
19,Michigan,Female,75 to 79 years,10051442.6701484,0,412.9629977
19,Michigan,Female,80 to 84 years,6727158.83464662,0,276.3849697
19,Michigan,Female,85 and over,5343450.59737732,0,219.535389
19,Michigan,Female,Total,237580134.907743,677813188.613533,9760.967447
19,Michigan,Male,15 to 19 years,15332856.2541016,66689400.1373728,629.9495992
19,Michigan,Male,20 to 24 years,8939913.33701611,38883652.7157957,367.295873
19,Michigan,Male,25 to 29 years,8032015.83587627,34934803.3472353,329.9949515
19,Michigan,Male,30 to 34 years,8388359.22330421,36484698.9672462,344.635301
19,Michigan,Male,35 to 39 years,8918739.95218075,38791560.2634732,366.4259656
19,Michigan,Male,40 to 44 years,9081975.1240977,39501542.5078805,373.1324741
19,Michigan,Male,45 to 49 years,9045971.18325558,39344945.3822341,371.6532541
19,Michigan,Male,50 to 54 years,8745121.74950913,38036417.6079095,359.2928708
19,Michigan,Male,55 to 59 years,8876739.73720419,38608882.6790748,364.700389
19,Michigan,Male,60 to 64 years,8776589.51941776,38173284.9119583,360.5857225
19,Michigan,Male,65 to 69 years,7135809.48624259,31036803.9878278,293.1743604
19,Michigan,Male,70 to 74 years,6001472.85438844,0,246.5701991
19,Michigan,Male,75 to 79 years,4349130.09121479,0,178.6837829
19,Michigan,Male,80 to 84 years,3037054.96003337,0,124.7772446
19,Michigan,Male,85 and over,2033683.51276883,0,83.55378101
19,Michigan,Male,Total,116695432.820611,440485992.508008,4794.425769
19,Minnesota,Female,15 to 19 years,8440096.25205422,32167465.4338855,396.7020241
19,Minnesota,Female,20 to 24 years,6522435.96368256,24858748.8982043,306.5680143
19,Minnesota,Female,25 to 29 years,7113363.54186209,27110932.0341955,334.3428358
19,Minnesota,Female,30 to 34 years,6841891.58237075,26076279.7491482,321.5830908
19,Minnesota,Female,35 to 39 years,6953147.86987218,26500307.2336255,326.812367
19,Minnesota,Female,40 to 44 years,7447384.24655973,28383974.3256206,350.0425015
19,Minnesota,Female,45 to 49 years,7855273.30177606,29938548.6684592,369.2141328
19,Minnesota,Female,50 to 54 years,7177519.19397575,27355446.3928146,337.3582844
19,Minnesota,Female,55 to 59 years,6828381.06472402,26024787.5509059,320.9480684
19,Minnesota,Female,60 to 64 years,6347127.6735618,24190602.0910679,298.3281612
19,Minnesota,Female,65 to 69 years,5143487.11803732,19603205.8329704,241.7545594
19,Minnesota,Female,70 to 74 years,4436841.71883108,0,208.5407604
19,Minnesota,Female,75 to 79 years,3206352.78328667,0,150.7052291
19,Minnesota,Female,80 to 84 years,2214094.92819002,0,104.0670525
19,Minnesota,Female,85 and over,2010256.40049489,0,94.48621902
19,Minnesota,Female,Total,88537653.6392791,292210298.210898,4161.453301
19,Minnesota,Male,15 to 19 years,6489259.59854138,30097849.8563037,305.0086564
19,Minnesota,Male,20 to 24 years,4011294.18949751,18604792.7982565,188.5391442
19,Minnesota,Male,25 to 29 years,4069578.20731369,18875120.0352263,191.2786139
19,Minnesota,Male,30 to 34 years,3885382.09244037,18020799.61155,182.6210145
19,Minnesota,Male,35 to 39 years,3779315.3249173,17528851.09336,177.6356565
19,Minnesota,Male,40 to 44 years,3877412.54649367,17983836.0421806,182.2464294
19,Minnesota,Male,45 to 49 years,3804230.56054834,17644410.5049954,178.8067243
19,Minnesota,Male,50 to 54 years,3323755.74779237,15415919.1718216,156.2234118
19,Minnesota,Male,55 to 59 years,3309259.84028354,15348685.6698933,155.5420741
19,Minnesota,Male,60 to 64 years,3227517.47280357,14969556.2074406,151.7000134
19,Minnesota,Male,65 to 69 years,2646360.28238596,12274089.7070663,124.3844204
19,Minnesota,Male,70 to 74 years,2325272.96982358,0,109.2926509
19,Minnesota,Male,75 to 79 years,1716021.14604046,0,80.65655197
19,Minnesota,Male,80 to 84 years,1177096.56449758,0,55.3259792
19,Minnesota,Male,85 and over,895963.928232238,0,42.11216237
19,Minnesota,Male,Total,48537720.4716116,196763910.698094,2281.373503
19,Mississippi,Female,15 to 19 years,3546091.34933476,10097291.3944142,196.7996848
19,Mississippi,Female,20 to 24 years,2714414.06288444,7729138.10107613,150.643562
19,Mississippi,Female,25 to 29 years,2761406.57105265,7862946.56836726,153.2515351
19,Mississippi,Female,30 to 34 years,2853605.02915219,8125476.3810077,158.3683315
19,Mississippi,Female,35 to 39 years,3068429.02718621,8737175.37377886,170.2905554
19,Mississippi,Female,40 to 44 years,3134529.85128165,8925393.67290073,173.9589949
19,Mississippi,Female,45 to 49 years,3416333.5154167,9727813.4169152,189.5984319
19,Mississippi,Female,50 to 54 years,3416364.80444289,9727902.51061974,189.6001683
19,Mississippi,Female,55 to 59 years,3376059.88791795,9613136.57633094,187.3633408
19,Mississippi,Female,60 to 64 years,3295979.72413765,9385112.91056897,182.919081
19,Mississippi,Female,65 to 69 years,2978966.49345896,8482435.94860974,165.3255963
19,Mississippi,Female,70 to 74 years,2830577.09346159,0,157.0903355
19,Mississippi,Female,75 to 79 years,1892987.79152755,0,105.0563463
19,Mississippi,Female,80 to 84 years,1117674.47408232,0,62.02829046
19,Mississippi,Female,85 and over,839074.087085551,0,46.56662776
19,Mississippi,Female,Total,41242493.7624231,98413822.8545894,2288.860882
19,Mississippi,Male,15 to 19 years,2534448.17315978,9622260.75882515,140.6558807
19,Mississippi,Male,20 to 24 years,1571512.05582397,5966387.06086584,87.21520311
19,Mississippi,Male,25 to 29 years,1518121.72712999,5763685.86928757,84.25216611
19,Mississippi,Male,30 to 34 years,1513116.07280333,5744681.45179357,83.97436413
19,Mississippi,Male,35 to 39 years,1515733.84533209,5754620.06097318,84.11964432
19,Mississippi,Male,40 to 44 years,1449898.19726693,5504669.0934932,80.46592153
19,Mississippi,Male,45 to 49 years,1439331.30387113,5464550.93099063,79.87948393
19,Mississippi,Male,50 to 54 years,1381788.24590063,5246083.52869137,76.68598028
19,Mississippi,Male,55 to 59 years,1445890.08013938,5489451.91582051,80.2434805
19,Mississippi,Male,60 to 64 years,1554426.15707293,5901518.90738674,86.26697613
19,Mississippi,Male,65 to 69 years,1376364.00230527,5225489.89933779,76.38494758
19,Mississippi,Male,70 to 74 years,1298063.48150333,0,72.03945383
19,Mississippi,Male,75 to 79 years,875568.1061835,0,48.59195953
19,Mississippi,Male,80 to 84 years,556310.237828125,0,30.87390275
19,Mississippi,Male,85 and over,390374.017681218,0,21.6648349
19,Mississippi,Male,Total,20420945.7040016,65683399.4774656,1133.314199
19,Missouri,Female,15 to 19 years,8301999.71606432,26807643.2640298,421.9325812
19,Missouri,Female,20 to 24 years,7202457.50659963,23257157.0783899,366.0505409
19,Missouri,Female,25 to 29 years,7608147.3147689,24567153.2269335,386.6689165
19,Missouri,Female,30 to 34 years,7365762.35430068,23784477.9950584,374.3501842
19,Missouri,Female,35 to 39 years,7562246.18626234,24418935.7949287,384.3360831
19,Missouri,Female,40 to 44 years,7669997.33818438,24766870.5745969,389.8123206
19,Missouri,Female,45 to 49 years,8351047.60743493,26966021.7776031,424.4253425
19,Missouri,Female,50 to 54 years,7939630.17867305,25637530.8067456,403.515872
19,Missouri,Female,55 to 59 years,7715105.53743582,24912527.5916015,392.1048548
19,Missouri,Female,60 to 64 years,7566234.65923873,24431814.807742,384.5387893
19,Missouri,Female,65 to 69 years,6650003.83472417,21473251.8191686,337.9731846
19,Missouri,Female,70 to 74 years,5914449.97122494,0,300.5901262
19,Missouri,Female,75 to 79 years,4381406.88213273,0,222.6762682
19,Missouri,Female,80 to 84 years,2847904.83892194,0,144.7390847
19,Missouri,Female,85 and over,2227799.62068665,0,113.2234734
19,Missouri,Female,Total,99304193.5466532,271023384.736798,5046.937622
19,Missouri,Male,15 to 19 years,6478572.35002946,26656755.8829307,329.2605213
19,Missouri,Male,20 to 24 years,3888645.07059783,16000232.2675021,197.6326317
19,Missouri,Male,25 to 29 years,3881081.28984659,15969110.309431,197.2482176
19,Missouri,Male,30 to 34 years,3822049.89987754,15726219.5509713,194.2480649
19,Missouri,Male,35 to 39 years,3753641.56774907,15444746.3943276,190.7713478
19,Missouri,Male,40 to 44 years,3625263.19342328,14916520.2975651,184.2467729
19,Missouri,Male,45 to 49 years,3761272.22729159,15476143.5321013,191.1591609
19,Missouri,Male,50 to 54 years,3482760.60399077,14330178.6571617,177.004363
19,Missouri,Male,55 to 59 years,3259022.23142632,13409583.9864751,165.6333063
19,Missouri,Male,60 to 64 years,3190095.24319341,13125976.7656556,162.1302296
19,Missouri,Male,65 to 69 years,2851034.21829602,11730875.1164373,144.8981291
19,Missouri,Male,70 to 74 years,2616495.01847956,0,132.978142
19,Missouri,Male,75 to 79 years,1972981.66579435,0,100.272859
19,Missouri,Male,80 to 84 years,1298157.30827036,0,65.97625664
19,Missouri,Male,85 and over,894390.908692877,0,45.4556345
19,Missouri,Male,Total,48775462.796959,172786342.760559,2478.915637
19,Montana,Female,15 to 19 years,2692487.87258184,7455936.02432669,111.9502998
19,Montana,Female,20 to 24 years,2247215.70319316,6222905.10070301,93.43643631
19,Montana,Female,25 to 29 years,2248121.00825518,6225412.03738923,93.47407777
19,Montana,Female,30 to 34 years,2261781.16544335,6263239.230267,94.04205013
19,Montana,Female,35 to 39 years,2312030.92683693,6402388.97723651,96.13137276
19,Montana,Female,40 to 44 years,2388813.59308368,6615012.64516189,99.32390061
19,Montana,Female,45 to 49 years,2675624.73733235,7409239.26521773,111.2491516
19,Montana,Female,50 to 54 years,2782317.94452679,7704690.07677856,115.6853225
19,Montana,Female,55 to 59 years,2907827.60866493,8052246.7123267,120.9038584
19,Montana,Female,60 to 64 years,2820160.32222222,7809481.76404249,117.2587616
19,Montana,Female,65 to 69 years,2566039.31342476,7105779.43604857,106.6927258
19,Montana,Female,70 to 74 years,2421293.32699313,0,100.6743676
19,Montana,Female,75 to 79 years,1769397.72216152,0,73.56935845
19,Montana,Female,80 to 84 years,1211335.07508689,0,50.36580709
19,Montana,Female,85 and over,988672.713418753,0,41.10778279
19,Montana,Female,Total,34293119.0332255,77266331.2694984,1425.865273
19,Montana,Male,15 to 19 years,2257727.3180227,8096688.82070438,93.87349619
19,Montana,Male,20 to 24 years,1475089.89032432,5289985.0788814,61.33240454
19,Montana,Male,25 to 29 years,1421400.62214557,5097443.98058994,59.10007149
19,Montana,Male,30 to 34 years,1424774.10620804,5109542.00964659,59.24033676
19,Montana,Male,35 to 39 years,1383735.45435599,4962368.70354589,57.53400062
19,Montana,Male,40 to 44 years,1336775.31752396,4793959.69689951,55.58145648
19,Montana,Male,45 to 49 years,1388374.9949181,4979007.07962549,57.72690695
19,Montana,Male,50 to 54 years,1393055.0256557,4995790.66205866,57.92149681
19,Montana,Male,55 to 59 years,1516142.2196183,5437207.43518858,63.03930937
19,Montana,Male,60 to 64 years,1577880.98647051,5658615.74228839,65.60633058
19,Montana,Male,65 to 69 years,1431279.6145021,5132872.14161471,59.51082771
19,Montana,Male,70 to 74 years,1377825.89578349,0,57.28828851
19,Montana,Male,75 to 79 years,1058199.32335476,0,43.99861283
19,Montana,Male,80 to 84 years,782511.596866427,0,32.53585977
19,Montana,Male,85 and over,621327.707151056,0,25.83403394
19,Montana,Male,Total,20446100.072901,59553481.3510435,850.1234325
19,Nebareska,Female,15 to 19 years,2560747.8023605,8306390.09160051,124.4175504
19,Nebareska,Female,20 to 24 years,2068935.47755436,6711080.69880088,100.5221536
19,Nebareska,Female,25 to 29 years,2201987.85945934,7142667.51328552,106.9866916
19,Nebareska,Female,30 to 34 years,2153186.59880382,6984369.1023319,104.6156134
19,Nebareska,Female,35 to 39 years,2195532.81203281,7121729.04291561,106.673064
19,Nebareska,Female,40 to 44 years,2230500.5800033,7235155.25424642,108.3720224
19,Nebareska,Female,45 to 49 years,2485806.12714718,8063299.07425548,120.7764032
19,Nebareska,Female,50 to 54 years,2466329.94711974,8000123.48599447,119.8301254
19,Nebareska,Female,55 to 59 years,2509807.55202264,8141153.36259502,121.9425463
19,Nebareska,Female,60 to 64 years,2404671.56650217,7800119.97086744,116.8343659
19,Nebareska,Female,65 to 69 years,2166878.72439693,7028782.7444152,105.2808647
19,Nebareska,Female,70 to 74 years,2150534.68336638,0,104.4867663
19,Nebareska,Female,75 to 79 years,1685786.3786743,0,81.90631325
19,Nebareska,Female,80 to 84 years,1146951.76103416,0,55.72627197
19,Nebareska,Female,85 and over,981869.448760494,0,47.70551457
19,Nebareska,Female,Total,31409527.3192381,82534870.3413085,1526.076267
19,Nebareska,Male,15 to 19 years,1932364.68034145,7440391.86258679,93.88666846
19,Nebareska,Male,20 to 24 years,1287553.6872831,4957606.64379977,62.55761523
19,Nebareska,Male,25 to 29 years,1347633.17149917,5188937.15300295,65.47666187
19,Nebareska,Male,30 to 34 years,1292812.52601241,4977855.31698567,62.81312334
19,Nebareska,Male,35 to 39 years,1231631.47647507,4742283.33217701,59.8405556
19,Nebareska,Male,40 to 44 years,1152133.30050908,4436182.94255321,55.97802439
19,Nebareska,Male,45 to 49 years,1135990.03728487,4374024.79737961,55.19368114
19,Nebareska,Male,50 to 54 years,1077354.64839112,4148254.64393857,52.34479791
19,Nebareska,Male,55 to 59 years,1158063.41738738,4459016.31029912,56.2661475
19,Nebareska,Male,60 to 64 years,1220806.31298459,4700602.03921763,59.31459974
19,Nebareska,Male,65 to 69 years,1094194.26574899,4213094.03643692,53.16297452
19,Nebareska,Male,70 to 74 years,1081459.54578418,0,52.54424015
19,Nebareska,Male,75 to 79 years,847993.186426888,0,41.20094719
19,Nebareska,Male,80 to 84 years,602625.854555083,0,29.27942866
19,Nebareska,Male,85 and over,483012.309761263,0,23.46783557
19,Nebareska,Male,Total,16945628.4204446,53638249.0783772,823.3273013
19,Nevada,Female,15 to 19 years,4899639.19062633,14862359.9466589,217.48819
19,Nevada,Female,20 to 24 years,4132583.58306848,12535605.6500491,183.4396551
19,Nevada,Female,25 to 29 years,4730856.08345362,14350380.350995,209.9961419
19,Nevada,Female,30 to 34 years,4931985.97365695,14960479.3211299,218.9240188
19,Nevada,Female,35 to 39 years,5324182.83183535,16150152.8153226,236.3330936
19,Nevada,Female,40 to 44 years,5340565.43654593,16199847.1210867,237.0602947
19,Nevada,Female,45 to 49 years,5276202.52458185,16004611.3644099,234.2033143
19,Nevada,Female,50 to 54 years,4941768.57232597,14990153.445484,219.3582548
19,Nevada,Female,55 to 59 years,4945096.30929513,15000247.6631843,219.5059685
19,Nevada,Female,60 to 64 years,5085472.71290127,15426059.5561097,225.7370824
19,Nevada,Female,65 to 69 years,4502626.17100378,13658077.3104133,199.8653325
19,Nevada,Female,70 to 74 years,3859859.83183736,0,171.333826
19,Nevada,Female,75 to 79 years,2504530.45750949,0,111.1726343
19,Nevada,Female,80 to 84 years,1497411.70115445,0,66.46802915
19,Nevada,Female,85 and over,1092805.74357616,0,48.50813171
19,Nevada,Female,Total,63065587.1233721,164137974.544843,2799.393968
19,Nevada,Male,15 to 19 years,4019377.04974727,15102608.1465967,178.4145741
19,Nevada,Male,20 to 24 years,2597630.63666462,9760467.1394556,115.3052222
19,Nevada,Male,25 to 29 years,2839634.34603939,10669783.9682761,126.0474313
19,Nevada,Male,30 to 34 years,2999766.01551612,11271470.7038163,133.1554541
19,Nevada,Male,35 to 39 years,3095111.3069365,11629725.8655298,137.3876993
19,Nevada,Male,40 to 44 years,3015172.87791504,11329361.218366,133.8393433
19,Nevada,Male,45 to 49 years,2737930.29723946,10287636.0938824,121.5329296
19,Nevada,Male,50 to 54 years,2406556.12304732,9042514.21534638,106.8236895
19,Nevada,Male,55 to 59 years,2397603.11526228,9008873.73657629,106.4262778
19,Nevada,Male,60 to 64 years,2592484.63208094,9741131.28472339,115.0767982
19,Nevada,Male,65 to 69 years,2248501.73849028,8448632.77395072,99.80787447
19,Nevada,Male,70 to 74 years,1974681.74409803,0,87.65338459
19,Nevada,Male,75 to 79 years,1381761.58218109,0,61.33448073
19,Nevada,Male,80 to 84 years,888215.581286178,0,39.42665808
19,Nevada,Male,85 and over,618963.654718307,0,27.4749384
19,Nevada,Male,Total,35813390.7012228,116292205.14652,1589.706756
19,New Hampshire,Female,15 to 19 years,2540214.32005347,9594440.32878906,127.6016026
19,New Hampshire,Female,20 to 24 years,1955497.81233075,7385954.37612132,98.22976459
19,New Hampshire,Female,25 to 29 years,2059206.92362451,7777665.76519762,103.4393442
19,New Hampshire,Female,30 to 34 years,2264482.99142717,8552997.58185301,113.7508975
19,New Hampshire,Female,35 to 39 years,2669752.3094434,10083707.9073951,134.1086342
19,New Hampshire,Female,40 to 44 years,2981969.79485358,11262959.5987679,149.7921343
19,New Hampshire,Female,45 to 49 years,3119117.20126258,11780968.0977562,156.6814069
19,New Hampshire,Female,50 to 54 years,2806370.93522792,10599719.1913813,140.9713448
19,New Hampshire,Female,55 to 59 years,2569510.50957849,9705092.62298318,129.0732267
19,New Hampshire,Female,60 to 64 years,2497770.22901352,9434128.14742007,125.469525
